,date,market-price,difficulty,total-bitcoins,blocks-size,market-cap,open,high,low,close,volume,Number of Trades,TB Base Volume,close_nextday
385,2019-08-31,9577.99,10183488432890.0,17907100.0,237618.952387,171890252900.0,9582.76,9684.51,9420.75,9587.47,17130.290074,199188,8558.148214,9724.98
386,2019-09-01,9600.9,10685572378039.5,17909325.0,237764.010968,172225023862.5,9588.74,9830.0,9520.0,9724.98,19545.404843,191324,11545.610598,10340.0
387,2019-09-02,9769.79,10771996663680.0,17911562.5,237891.016573,177745390468.75,9723.59,10450.0,9712.5,10340.0,44740.248093,354155,25140.296125,10615.28
388,2019-09-03,10386.64,10771996663680.0,17913800.0,238048.168172,190692401000.0,10340.0,10773.0,10272.0,10615.28,47998.376781,416076,24734.303264,10564.49
389,2019-09-05,10584.16,10771996663680.0,17916012.5,238386.738061,189040805893.75,10565.92,10900.0,10450.0,10564.49,33970.960639,309846,16535.147807,10298.73
390,2019-09-06,10577.8,10771996663680.0,17918237.5,238555.266407,189978113093.75,10563.13,10905.87,10150.0,10298.73,58799.640959,455334,29952.944427,10455.88
391,2019-09-07,10317.47,10771996663680.0,17920450.0,238727.047306,185404975700.0,10298.71,10558.0,10288.57,10455.88,27637.877392,272011,14673.489216,10381.18
392,2019-09-08,10487.21,10771996663680.0,17922675.0,238866.238456,188743690425.0,10455.9,10592.5,10208.0,10381.18,23984.672018,237752,10588.592458,10303.12
393,2019-09-09,10406.31,10771996663680.0,17924900.0,238991.680177,183300027400.0,10381.24,10480.0,10068.5,10303.12,39835.727608,330459,18729.472684,10098.15
394,2019-09-10,10313.66,10771996663680.0,17927112.5,239150.873652,183681194675.0,10302.58,10384.99,9953.0,10098.15,28915.412225,286763,13432.256822,10158.33
395,2019-09-11,10101.03,10771996663680.0,17929350.0,239324.843978,180683024625.0,10098.19,10293.0,9880.0,10158.33,31953.824562,309120,16583.813097,10415.01
396,2019-09-12,10159.32,10771996663680.0,17931562.5,239499.506969,184040591718.75,10158.75,10448.81,10040.0,10415.01,34511.162755,317881,18550.853202,10342.06
397,2019-09-13,10420.16,10958429712866.0,17933775.0,239655.079037,184933087800.0,10415.01,10439.0,10153.0,10342.06,30280.339776,304947,16763.854663,10335.02
398,2019-09-14,10363.9,11890594958796.0,17936000.0,239815.458278,186749632000.0,10344.13,10419.99,10222.33,10335.02,23621.533519,253929,13495.986691,10251.31
399,2019-09-16,10310.43,11890594958796.0,17938225.0,240083.518717,185364648037.5,10303.34,10355.0,10078.0,10251.31,28971.401657,274368,13385.302253,10187.82
400,2019-09-17,10265.63,11890594958796.0,17940450.0,240255.292254,183468011925.0,10249.68,10275.0,10128.01,10187.82,22914.324563,287483,11195.430673,10156.99
401,2019-09-18,10190.36,11890594958796.0,17942662.5,240426.604578,183535494712.5,10187.48,10258.02,10100.0,10156.99,24250.249303,299466,11753.109111,10244.29
402,2019-09-19,10157.59,11890594958796.0,17944887.5,240612.717177,177349323162.5,10156.41,10325.0,9653.0,10244.29,44826.282579,429727,22623.287763,10168.59
403,2019-09-20,10275.88,11890594958796.0,17947112.5,240775.550265,183150283062.5,10243.7,10281.0,10061.39,10168.59,25088.491069,267032,12054.384888,9986.39
